latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
29.89033,72.87066,307.75,1,1,2026-03-04,0425,T,58,6.1NRT,297.2,4.48,D
29.86084,72.76237,315.19,1,1,2026-03-04,0425,T,72,6.1NRT,297.41,10.02,D
29.85942,72.77241,312.12,1,1,2026-03-04,0425,T,67,6.1NRT,297.47,7.59,D
29.65984,72.34703,307.72,1.01,1,2026-03-04,0425,T,55,6.1NRT,297.14,4.54,D
29.65845,72.3571,307.85,1.01,1,2026-03-04,0425,T,56,6.1NRT,296.96,4.61,D
28.12731,80.54613,306.91,2.56,1.54,2026-03-04,0427,T,59,6.1NRT,294.94,18.31,D
28.13217,80.54189,306.03,2.56,1.54,2026-03-04,0427,T,55,6.1NRT,294.88,17.46,D
29.67378,70.77525,307.53,1.1,1.05,2026-03-04,0427,T,41,6.1NRT,296.62,4.69,D
29.6724,70.78629,317.18,1.1,1.05,2026-03-04,0427,T,72,6.1NRT,297.49,13.15,D
29.41101,70.89222,309.3,1.08,1.04,2026-03-04,0427,T,47,6.1NRT,297.19,5.85,D
29.40962,70.90306,328.23,1.08,1.04,2026-03-04,0427,T,82,6.1NRT,298.15,25.87,D
29.23847,70.50395,317.2,1.12,1.05,2026-03-04,0427,T,70,6.1NRT,298.01,12.65,D
29.23215,70.49704,308.84,1.12,1.05,2026-03-04,0427,T,37,6.1NRT,297.91,5.52,D
29.03563,70.52124,315.09,1.11,1.05,2026-03-04,0427,T,61,6.1NRT,300.01,8.92,D
29.02783,70.50871,313.7,1.11,1.05,2026-03-04,0427,T,22,6.1NRT,299.3,6.83,D
29.02142,70.48506,311.8,1.11,1.05,2026-03-04,0427,T,31,6.1NRT,299.45,6.05,D
29.00939,70.50579,312.9,1.11,1.05,2026-03-04,0427,T,30,6.1NRT,299.37,6.81,D
29.01135,70.41528,315.18,1.12,1.06,2026-03-04,0427,T,63,6.1NRT,300,9.7,D
28.86893,70.66727,312.09,1.09,1.04,2026-03-04,0427,T,46,6.1NRT,298.68,7.07,D
28.78734,70.30384,319.75,1.13,1.06,2026-03-04,0427,T,70,6.1NRT,300.01,15.02,D
28.78592,70.31506,321.94,1.13,1.06,2026-03-04,0427,T,74,6.1NRT,299.9,17.83,D
28.53979,70.20684,313.84,1.13,1.06,2026-03-04,0427,T,54,6.1NRT,298.31,9.21,D
28.40657,70.10466,314.03,1.14,1.06,2026-03-04,0427,T,59,6.1NRT,299.02,9.31,D
28.3647,70.21274,312.84,1.13,1.06,2026-03-04,0427,T,53,6.1NRT,298.6,7.79,D
28.35542,70.2113,314.92,1.13,1.06,2026-03-04,0427,T,60,6.1NRT,299.07,9.83,D
28.35614,69.84593,311.4,1.17,1.08,2026-03-04,0427,T,53,6.1NRT,299.77,7.26,D
28.34101,69.89077,312.9,1.16,1.07,2026-03-04,0427,T,58,6.1NRT,298.99,8.71,D
28.34333,69.71313,313.63,1.19,1.08,2026-03-04,0427,T,46,6.1NRT,301.14,8.88,D
28.3104,69.78507,325.59,1.18,1.08,2026-03-04,0427,T,75,6.1NRT,299.81,22.99,D
28.30894,69.79671,313.32,1.17,1.08,2026-03-04,0427,T,61,6.1NRT,300.13,8.32,D
28.26281,70.01221,310.42,1.15,1.07,2026-03-04,0427,T,45,6.1NRT,299.31,6.16,D
28.27062,69.63558,319.72,1.2,1.09,2026-03-04,0427,T,73,6.1NRT,300.76,14.83,D
28.24507,69.84611,310.62,1.17,1.08,2026-03-04,0427,T,40,6.1NRT,299.55,5.64,D
28.20258,69.4367,312.78,1.22,1.1,2026-03-04,0427,T,61,6.1NRT,300.04,8.63,D
28.20114,69.44878,312.02,1.22,1.1,2026-03-04,0427,T,57,6.1NRT,299.92,7.94,D
28.16198,69.61325,310.29,1.2,1.09,2026-03-04,0427,T,47,6.1NRT,299.84,5.84,D
28.16057,69.62508,309.14,1.19,1.09,2026-03-04,0427,T,31,6.1NRT,298.87,4.93,D
28.15851,69.4481,311.23,1.22,1.1,2026-03-04,0427,T,50,6.1NRT,299.73,6.87,D
28.14071,69.4332,310.32,1.22,1.1,2026-03-04,0427,T,40,6.1NRT,299.63,6.39,D
28.11659,69.55155,318.38,1.2,1.09,2026-03-04,0427,T,71,6.1NRT,300.41,14.71,D
28.11515,69.56343,317.46,1.2,1.09,2026-03-04,0427,T,69,6.1NRT,299.83,13.68,D
28.04033,69.58239,318.14,1.2,1.09,2026-03-04,0427,T,66,6.1NRT,299.19,14.83,D
27.99187,69.41745,317.92,1.22,1.1,2026-03-04,0427,T,70,6.1NRT,299.75,14.4,D
27.99045,69.42948,309.56,1.22,1.1,2026-03-04,0427,T,27,6.1NRT,299.26,5.21,D
27.98771,69.4225,314.05,1.22,1.1,2026-03-04,0427,T,57,6.1NRT,299.34,9.24,D
27.95067,69.40482,313.63,1.22,1.1,2026-03-04,0427,T,60,6.1NRT,298.83,10.18,D
27.94335,69.21812,309.46,1.24,1.11,2026-03-04,0427,T,32,6.1NRT,298.18,5.92,D
27.91963,69.14576,312.05,1.25,1.11,2026-03-04,0427,T,55,6.1NRT,297.93,10.27,D
27.79099,69.36858,313.65,1.22,1.1,2026-03-04,0427,T,59,6.1NRT,298.64,10.81,D
27.80187,69.1973,309.96,1.24,1.11,2026-03-04,0427,T,37,6.1NRT,298.8,6.98,D
27.34094,68.34959,311.76,1.37,1.16,2026-03-04,0427,T,47,6.1NRT,298.23,11.96,D
26.91706,68.40112,314.22,1.35,1.15,2026-03-04,0427,T,57,6.1NRT,299.71,12.67,D
26.82501,68.14445,311.85,1.39,1.17,2026-03-04,0427,T,37,6.1NRT,300.31,10.14,D
25.3916,77.44611,324.95,1.77,1.3,2026-03-04,0427,T,79,6.1NRT,308,32.9,D
25.39348,77.4409,319.25,1.77,1.3,2026-03-04,0427,T,55,6.1NRT,307.65,17.23,D
25.39051,77.45763,320.69,1.78,1.31,2026-03-04,0427,T,68,6.1NRT,307.54,20.55,D
26.54643,69.11026,321.16,1.22,1.1,2026-03-04,0427,T,69,6.1NRT,305.4,13.07,D
26.40177,68.27846,313.19,1.35,1.15,2026-03-04,0427,T,49,6.1NRT,300.18,10.45,D
